# robots.txt for Surprise Granite
# https://www.surprisegranite.com
#
# ⚠️ READ BEFORE EDITING (fixed 2026-07-28):
# A named "User-agent: X" group REPLACES the "*" group for that crawler — it does
# NOT add to it. Per RFC 9309, a crawler picks the single most-specific matching
# group and ignores every other group.
# This file previously had 29 per-bot groups (Googlebot, Bingbot, GPTBot, …) that
# each contained only "Allow: /". The effect was that Googlebot and Bingbot read
# ONLY "Allow: /" and silently ignored every Disallow below — /api/, /staff/,
# /account/, /cart/, /checkout/ and /product-review/ were all unenforced for the
# two crawlers that matter most.
# Those groups were removed. "*" already allows every crawler, so AI bots remain
# just as welcome. Do NOT re-add per-bot "Allow: /" groups.

# No bare "Allow: /" here on purpose: crawling is allowed by default, so it adds
# nothing — but Google resolves conflicts by LONGEST match while several naive
# crawlers and SEO tools use FIRST match, and under first-match a leading
# "Allow: /" swallows every Disallow below it. Omitting it is correct under both.
User-agent: *
Disallow: /log-in/
Disallow: /account/
Disallow: /cart/
Disallow: /checkout/
Disallow: /estimate/
Disallow: /staff/
# API endpoints are not pages — stop crawlers wasting budget 404ing on them
Disallow: /api/

# ⚠️ /product-review/ and /*_page= were Disallowed here until 2026-09-13. Both were
# removed on purpose — do NOT re-add them. Blocking a URL does not remove it from
# the index, it only stops Google READING it, and a blocked URL that something links
# to gets indexed anyway with no title ("Indexed, though blocked by robots.txt" —
# 0 pages on 2026-06-29, 125 by 2026-09-03).
#
# Every one of those 125 URLs already serves the correct instruction:
#   /product-review/?…   → <meta robots="noindex, follow"> + canonical /product-review/
#   …?xxxxxxxx_page=N    → canonical to the param-free URL
# The Disallow was the ONE thing preventing Google from seeing it. That is a deadlock:
# the page says "drop me", the robots file says "you may not read that". Removing the
# block lets the noindex and the canonicals finally do their job.
#
# The crawl-budget worry the block was written for is now handled at the source
# instead, which is where it belongs:
#   • The ~5,000 "Write a review" links on the product pages now pass their params in
#     the URL FRAGMENT (/product-review/#sku=…), and a fragment is never part of a
#     URL's identity to a crawler. 5,000 near-duplicate URLs collapsed to exactly one.
#   • The Finsweet paginators that minted ?xxxxxxxx_page=N are gone
#     (scripts/strip-webflow-pagination.js), so nothing generates new ones.
# Both URL spaces are closed. What is left is a one-time crawl of legacy URLs Google
# already knows, after which they leave the index for good rather than sitting in
# "Blocked by robots.txt" forever.

# Sitemap location
Sitemap: https://www.surprisegranite.com/sitemap.xml

# AI crawlers are welcome under the "*" group above — GPTBot, ChatGPT-User,
# ClaudeBot, anthropic-ai, PerplexityBot, Google-Extended, Applebot, CCBot,
# Amazonbot, Bytespider, cohere-ai, Diffbot, Meta-External*, YouBot,
# OAI-SearchBot, Timpibot, omgili(bot), Mistral-AI, Grok/xAI, DuckAssistBot.
# See the note at the top for why they are not listed as separate groups.
#
# llms.txt is published at https://www.surprisegranite.com/llms.txt
# There is no robots.txt directive for it — the old "LLMsTxt:" line was invalid
# syntax and was the "Syntax not understood" error Google reported.
#
# "Crawl-delay: 1" was also removed: Google ignores it (it was the reported
# warning) while Bing and Yandex honour it, so it was throttling the crawlers
# that DO obey it to one request per second across a ~40k-URL catalogue.
